Order_ID,Component_ID,Vendor_ID,Route_ID,Order_Date,Contractual_Delivery_Date,Actual_Delivery_Date,Delivered_Qty,Ordered_Qty,Price_per_Unit,Actual_Lead_Days,Committed_Lead_Days,Shortfall,Shortfall_flag,Delay_Indicator
O0020,C05,V008,R014,25-10-2024,20-11-2024,30-10-2024,474,750,37,5,26,276,1,0
O0021,C04,V015,R009,15-10-2024,02-11-2024,19-11-2024,405,643,65.2,35,18,238,1,1
O0022,C05,V007,R028,24-10-2024,28-10-2024,17-11-2024,70,750,37,24,4,680,1,1
O0023,C04,V001,R009,15-11-2024,21-11-2024,17-11-2024,298,326,65.2,2,6,28,1,0
O0024,C02,V009,R001,01-10-2024,06-11-2024,16-11-2024,133,232,12.75,46,36,99,1,1
O0025,C04,V011,R022,20-10-2024,12-11-2024,06-11-2024,153,241,65.2,17,23,88,1,0
O0026,C03,V005,R017,15-10-2024,28-10-2024,19-11-2024,50,750,88,35,13,700,1,1
O0027,C05,V006,R021,12-10-2024,28-10-2024,28-10-2024,50,278,37,16,16,228,1,1
O0028,C03,V001,R024,04-11-2024,06-11-2024,19-11-2024,355,750,88,15,2,395,1,1
O0029,C03,V009,R006,15-11-2024,16-11-2024,18-11-2024,50,624,88,3,1,574,1,1
O0030,C02,V007,R013,20-10-2024,06-11-2024,02-11-2024,52,334,12.75,13,17,282,1,0
O0031,C05,V013,R012,28-10-2024,12-11-2024,06-11-2024,453,729,37,9,15,276,1,0
O0032,C04,V007,R009,05-10-2024,30-10-2024,10-11-2024,276,724,65.2,36,25,448,1,1
O0033,C01,V015,R003,05-10-2024,12-11-2024,28-10-2024,50,372,25.5,23,38,322,1,0
O0034,C04,V011,R019,04-11-2024,12-11-2024,19-11-2024,50,750,65.2,15,8,700,1,1
O0035,C05,V015,R025,20-10-2024,28-10-2024,02-11-2024,50,112,37,13,8,62,1,1
O0036,C03,V013,R021,01-10-2024,21-11-2024,10-11-2024,50,69,88,40,51,19,1,0
O0037,C05,V008,R003,24-10-2024,02-11-2024,19-11-2024,675,712,37,26,9,37,1,1
O0038,C01,V003,R016,01-10-2024,12-11-2024,19-11-2024,109,137,25.5,49,42,28,1,1
O0039,C02,V010,R012,20-10-2024,21-11-2024,16-11-2024,50,70,12.75,27,32,20,1,0
O0040,C02,V014,R004,24-10-2024,20-11-2024,16-11-2024,50,241,12.75,23,27,191,1,0
O0041,C02,V010,R017,28-10-2024,12-11-2024,10-11-2024,50,641,12.75,13,15,591,1,0
O0042,C02,V001,R007,05-10-2024,04-11-2024,02-11-2024,79,220,12.75,28,30,141,1,0
O0043,C02,V007,R028,01-10-2024,18-10-2024,10-11-2024,50,188,12.75,40,17,138,1,1
O0044,C01,V009,R029,28-10-2024,02-11-2024,29-10-2024,61,189,25.5,1,5,128,1,0
O0045,C05,V008,R004,10-10-2024,28-10-2024,18-11-2024,257,750,37,39,18,493,1,1
O0046,C03,V012,R025,04-11-2024,15-11-2024,30-10-2024,315,586,88,-5,11,271,1,0
O0047,C04,V010,R008,28-10-2024,21-11-2024,19-11-2024,50,376,65.2,22,24,326,1,0
O0048,C04,V011,R008,12-10-2024,04-11-2024,16-11-2024,50,146,65.2,35,23,96,1,1
O0049,C03,V003,R023,15-11-2024,21-11-2024,10-11-2024,50,307,88,-5,6,257,1,0
O0050,C01,V010,R027,05-10-2024,04-11-2024,10-11-2024,224,399,25.5,36,30,175,1,1
O0051,C05,V015,R014,24-10-2024,28-10-2024,29-10-2024,50,701,37,5,4,651,1,1
O0052,C04,V011,R017,12-10-2024,12-11-2024,18-11-2024,396,417,65.2,37,31,21,1,1
O0053,C03,V003,R007,15-10-2024,20-11-2024,02-11-2024,247,287,88,18,36,40,1,0
O0054,C05,V009,R006,15-10-2024,18-10-2024,25-10-2024,244,359,37,10,3,115,1,1
O0055,C05,V002,R019,24-10-2024,28-10-2024,16-11-2024,341,417,37,23,4,76,1,1
O0056,C03,V003,R023,25-10-2024,20-11-2024,29-10-2024,50,381,88,4,26,331,1,0
O0057,C05,V009,R014,10-10-2024,20-11-2024,18-11-2024,575,750,37,39,41,175,1,0
O0058,C02,V008,R017,25-10-2024,30-10-2024,19-11-2024,539,619,12.75,25,5,80,1,1
O0059,C05,V011,R030,15-10-2024,15-11-2024,10-11-2024,567,662,37,26,31,95,1,0
O0060,C03,V006,R016,18-10-2024,20-11-2024,28-10-2024,50,50,88,10,33,0,0,0
O0061,C05,V014,R019,12-10-2024,28-10-2024,17-11-2024,50,750,37,36,16,700,1,1
O0062,C04,V010,R021,25-10-2024,12-11-2024,28-10-2024,192,255,65.2,3,18,63,1,0
O0063,C02,V004,R002,15-10-2024,20-11-2024,29-10-2024,50,623,12.75,14,36,573,1,0
O0064,C02,V007,R010,01-11-2024,15-11-2024,16-11-2024,176,179,12.75,15,14,3,1,1
O0065,C05,V010,R001,20-10-2024,16-11-2024,17-11-2024,111,544,37,28,27,433,1,1
O0066,C01,V006,R006,01-10-2024,21-11-2024,23-11-2024,83,273,25.5,53,51,190,1,1
O0067,C02,V012,R027,05-10-2024,02-11-2024,28-10-2024,50,343,12.75,23,28,293,1,0
O0068,C02,V014,R020,28-10-2024,16-11-2024,16-11-2024,165,525,12.75,19,19,360,1,1
O0069,C02,V002,R021,20-10-2024,04-11-2024,16-11-2024,50,175,12.75,27,15,125,1,1
O0070,C01,V010,R013,25-10-2024,12-11-2024,10-11-2024,125,236,25.5,16,18,111,1,0
O0071,C05,V001,R007,28-10-2024,04-11-2024,23-11-2024,50,750,37,26,7,700,1,1
O0072,C02,V002,R026,05-11-2024,21-11-2024,02-11-2024,119,289,12.75,-3,16,170,1,0
O0073,C03,V001,R012,12-10-2024,07-11-2024,19-11-2024,361,545,88,38,26,184,1,1
O0074,C03,V012,R023,10-10-2024,20-11-2024,20-11-2024,479,683,88,41,41,204,1,1
O0075,C03,V013,R005,10-10-2024,20-11-2024,29-10-2024,50,750,88,19,41,700,1,0
O0076,C03,V015,R023,20-10-2024,28-10-2024,25-10-2024,50,289,88,5,8,239,1,0
O0077,C05,V008,R006,24-10-2024,04-11-2024,06-11-2024,76,186,37,13,11,110,1,1
O0078,C05,V013,R007,28-10-2024,30-10-2024,05-11-2024,50,200,37,8,2,150,1,1
O0079,C02,V010,R017,20-10-2024,02-11-2024,29-10-2024,50,348,12.75,9,13,298,1,0
O0080,C02,V001,R008,18-10-2024,07-11-2024,28-10-2024,214,456,12.75,10,20,242,1,0
O0081,C01,V006,R021,24-10-2024,07-11-2024,23-11-2024,50,331,25.5,30,14,281,1,1
O0082,C03,V012,R003,10-10-2024,02-11-2024,20-11-2024,50,579,88,41,23,529,1,1
O0083,C03,V008,R012,24-10-2024,20-11-2024,06-11-2024,50,144,88,13,27,94,1,0
O0084,C03,V003,R011,28-10-2024,20-11-2024,20-11-2024,750,750,88,23,23,0,0,1
O0085,C04,V011,R006,28-10-2024,12-11-2024,29-10-2024,50,365,65.2,1,15,315,1,0
O0086,C01,V013,R016,10-10-2024,18-10-2024,29-10-2024,50,186,25.5,19,8,136,1,1
O0087,C05,V014,R008,05-10-2024,06-11-2024,10-11-2024,424,691,37,36,32,267,1,1
O0088,C05,V011,R029,12-10-2024,02-11-2024,19-11-2024,50,309,37,38,21,259,1,1
O0089,C02,V006,R010,25-10-2024,21-11-2024,23-11-2024,63,410,12.75,29,27,347,1,1
O0090,C02,V003,R014,15-10-2024,28-10-2024,19-11-2024,50,53,12.75,35,13,3,1,1
O0091,C03,V004,R019,01-10-2024,28-10-2024,25-10-2024,528,750,88,24,27,222,1,0
O0092,C05,V004,R018,15-11-2024,20-11-2024,19-11-2024,362,750,37,4,5,388,1,0
O0093,C03,V001,R018,18-10-2024,28-10-2024,25-10-2024,50,224,88,7,10,174,1,0
O0094,C05,V010,R019,28-10-2024,16-11-2024,10-11-2024,109,750,37,13,19,641,1,0
O0095,C05,V003,R007,10-10-2024,21-11-2024,25-10-2024,90,323,37,15,42,233,1,0
O0096,C05,V002,R013,01-11-2024,21-11-2024,05-11-2024,122,309,37,4,20,187,1,0
O0097,C01,V015,R028,28-10-2024,16-11-2024,17-11-2024,50,750,25.5,20,19,700,1,1
O0098,C04,V015,R012,01-10-2024,28-10-2024,05-11-2024,50,128,65.2,35,27,78,1,1
O0099,C05,V004,R001,12-10-2024,16-11-2024,10-11-2024,676,750,37,29,35,74,1,0
O0100,C05,V005,R028,10-10-2024,28-10-2024,10-11-2024,127,248,37,31,18,121,1,1
O0101,C01,V007,R018,01-10-2024,12-11-2024,16-11-2024,78,275,25.5,46,42,197,1,1
O0102,C03,V003,R012,18-10-2024,20-11-2024,19-11-2024,50,398,88,32,33,348,1,0
O0103,C01,V004,R014,01-11-2024,20-11-2024,16-11-2024,50,363,25.5,15,19,313,1,0
O0104,C03,V001,R009,28-10-2024,12-11-2024,20-11-2024,245,386,88,23,15,141,1,1
O0105,C02,V014,R015,10-11-2024,16-11-2024,06-11-2024,108,361,12.75,-4,6,253,1,0
O0106,C02,V013,R021,12-10-2024,06-11-2024,29-10-2024,50,50,12.75,17,25,0,0,0
O0107,C03,V014,R003,10-11-2024,20-11-2024,17-11-2024,92,750,88,7,10,658,1,0
O0108,C02,V004,R020,15-10-2024,28-10-2024,05-11-2024,207,750,12.75,21,13,543,1,1
O0109,C03,V008,R021,15-10-2024,28-10-2024,19-11-2024,50,750,88,35,13,700,1,1
O0110,C01,V005,R017,04-11-2024,06-11-2024,20-11-2024,84,190,25.5,16,2,106,1,1
O0111,C01,V005,R016,20-10-2024,06-11-2024,17-11-2024,50,60,25.5,28,17,10,1,1
O0112,C02,V002,R015,20-10-2024,30-10-2024,10-11-2024,50,311,12.75,21,10,261,1,1
O0113,C03,V014,R014,10-10-2024,20-11-2024,19-11-2024,274,500,88,40,41,226,1,0
O0114,C05,V012,R019,24-10-2024,28-10-2024,30-10-2024,50,593,37,6,4,543,1,1
O0115,C02,V002,R007,01-11-2024,04-11-2024,18-11-2024,50,67,12.75,17,3,17,1,1
O0116,C02,V007,R009,01-11-2024,16-11-2024,23-11-2024,50,288,12.75,22,15,238,1,1
O0117,C04,V008,R022,15-10-2024,16-11-2024,19-11-2024,50,541,65.2,35,32,491,1,1
O0118,C05,V015,R019,15-10-2024,16-11-2024,30-10-2024,346,750,37,15,32,404,1,0
O0119,C02,V001,R018,10-10-2024,18-10-2024,23-11-2024,111,213,12.75,44,8,102,1,1
O0120,C02,V010,R028,18-10-2024,20-11-2024,06-11-2024,50,265,12.75,19,33,215,1,0
O0121,C02,V010,R003,20-10-2024,21-11-2024,16-11-2024,50,86,12.75,27,32,36,1,0
O0122,C04,V015,R023,10-11-2024,20-11-2024,18-11-2024,50,750,65.2,8,10,700,1,0
O0123,C03,V003,R009,12-10-2024,20-11-2024,02-11-2024,50,219,88,21,39,169,1,0
O0124,C02,V005,R025,12-10-2024,12-11-2024,10-11-2024,50,139,12.75,29,31,89,1,0
O0125,C05,V014,R024,15-10-2024,06-11-2024,02-11-2024,413,651,37,18,22,238,1,0
O0126,C05,V001,R025,01-10-2024,15-11-2024,25-10-2024,145,351,37,24,45,206,1,0
O0127,C01,V010,R023,10-10-2024,28-10-2024,18-11-2024,110,328,25.5,39,18,218,1,1
O0128,C02,V011,R016,05-10-2024,15-11-2024,18-11-2024,118,232,12.75,44,41,114,1,1
O0129,C01,V006,R015,01-10-2024,28-10-2024,25-10-2024,50,289,25.5,24,27,239,1,0
O0130,C02,V011,R002,20-10-2024,04-11-2024,29-10-2024,50,158,12.75,9,15,108,1,0
O0131,C02,V001,R028,10-10-2024,18-10-2024,06-11-2024,179,283,12.75,27,8,104,1,1
O0132,C03,V003,R029,10-10-2024,28-10-2024,19-11-2024,50,499,88,40,18,449,1,1
O0133,C02,V002,R020,25-10-2024,12-11-2024,29-10-2024,50,341,12.75,4,18,291,1,0
O0134,C04,V010,R002,25-10-2024,04-11-2024,05-11-2024,148,388,65.2,11,10,240,1,1
O0135,C01,V013,R025,10-10-2024,21-11-2024,05-11-2024,50,50,25.5,26,42,0,0,0
O0136,C03,V009,R005,10-11-2024,16-11-2024,18-11-2024,50,750,88,8,6,700,1,1
O0137,C04,V001,R012,25-10-2024,16-11-2024,30-10-2024,104,317,65.2,5,22,213,1,0
O0138,C02,V010,R007,05-10-2024,18-10-2024,16-11-2024,166,227,12.75,42,13,61,1,1
O0139,C02,V011,R020,01-11-2024,15-11-2024,16-11-2024,230,631,12.75,15,14,401,1,1
O0140,C04,V007,R006,15-10-2024,28-10-2024,05-11-2024,137,600,65.2,21,13,463,1,1
O0141,C05,V010,R025,12-10-2024,21-11-2024,18-11-2024,50,750,37,37,40,700,1,0
O0142,C05,V011,R017,18-10-2024,15-11-2024,17-11-2024,112,409,37,30,28,297,1,1
O0143,C02,V010,R022,15-10-2024,30-10-2024,19-11-2024,126,750,12.75,35,15,624,1,1
O0144,C02,V004,R028,20-10-2024,06-11-2024,06-11-2024,151,551,12.75,17,17,400,1,1
O0145,C02,V007,R006,24-10-2024,04-11-2024,29-10-2024,50,288,12.75,5,11,238,1,0
O0146,C04,V002,R025,05-10-2024,21-11-2024,05-11-2024,91,334,65.2,31,47,243,1,0
O0147,C03,V002,R024,15-10-2024,20-11-2024,02-11-2024,50,50,88,18,36,0,0,0
O0148,C04,V008,R024,05-10-2024,12-11-2024,10-11-2024,86,291,65.2,36,38,205,1,0
O0149,C04,V009,R004,01-11-2024,04-11-2024,23-11-2024,478,585,65.2,22,3,107,1,1
O0150,C05,V014,R014,01-11-2024,04-11-2024,06-11-2024,480,565,37,5,3,85,1,1
O0151,C05,V003,R030,10-11-2024,16-11-2024,17-11-2024,50,750,37,7,6,700,1,1
O0152,C05,V001,R028,01-11-2024,21-11-2024,17-11-2024,50,185,37,16,20,135,1,0
O0153,C05,V014,R004,10-11-2024,20-11-2024,17-11-2024,446,604,37,7,10,158,1,0
O0154,C05,V014,R003,10-11-2024,20-11-2024,02-11-2024,260,750,37,-8,10,490,1,0
O0155,C04,V007,R004,01-11-2024,15-11-2024,16-11-2024,464,647,65.2,15,14,183,1,1
O0156,C02,V006,R029,01-11-2024,16-11-2024,10-11-2024,50,287,12.75,9,15,237,1,0
O0157,C02,V002,R015,01-10-2024,02-11-2024,23-11-2024,50,228,12.75,53,32,178,1,1
O0158,C04,V014,R014,28-10-2024,12-11-2024,06-11-2024,140,247,65.2,9,15,107,1,0
O0159,C05,V014,R027,10-10-2024,07-11-2024,05-11-2024,676,750,37,26,28,74,1,0
O0160,C02,V015,R011,01-11-2024,16-11-2024,16-11-2024,50,246,12.75,15,15,196,1,1
O0161,C02,V011,R017,01-11-2024,04-11-2024,10-11-2024,50,387,12.75,9,3,337,1,1
O0162,C02,V002,R028,01-11-2024,02-11-2024,06-11-2024,50,299,12.75,5,1,249,1,1
O0163,C02,V011,R010,01-11-2024,12-11-2024,10-11-2024,128,335,12.75,9,11,207,1,0
O0164,C02,V007,R026,20-10-2024,30-10-2024,25-10-2024,80,294,12.75,5,10,214,1,0
O0165,C04,V006,R013,24-10-2024,16-11-2024,17-11-2024,392,750,65.2,24,23,358,1,1
O0166,C02,V002,R026,05-11-2024,06-11-2024,10-11-2024,150,381,12.75,5,1,231,1,1
O0167,C03,V008,R022,01-11-2024,16-11-2024,20-11-2024,124,300,88,19,15,176,1,1
O0168,C05,V015,R029,10-10-2024,28-10-2024,25-10-2024,444,750,37,15,18,306,1,0
O0169,C02,V010,R022,20-10-2024,30-10-2024,16-11-2024,286,347,12.75,27,10,61,1,1
O0170,C01,V004,R011,20-10-2024,15-11-2024,30-10-2024,103,119,25.5,10,26,16,1,0
O0171,C01,V014,R015,05-10-2024,18-10-2024,10-11-2024,50,290,25.5,36,13,240,1,1
O0172,C04,V004,R029,12-10-2024,12-11-2024,05-11-2024,236,281,65.2,24,31,45,1,0
O0173,C02,V009,R020,04-11-2024,21-11-2024,17-11-2024,97,292,12.75,13,17,195,1,0
O0174,C02,V011,R010,20-10-2024,15-11-2024,10-11-2024,69,266,12.75,21,26,197,1,0
O0175,C04,V013,R027,15-11-2024,20-11-2024,25-10-2024,116,406,65.2,-21,5,290,1,0
O0176,C02,V013,R006,12-10-2024,04-11-2024,18-11-2024,50,50,12.75,37,23,0,0,1
O0177,C05,V012,R001,20-10-2024,04-11-2024,10-11-2024,185,199,37,21,15,14,1,1
O0178,C02,V006,R008,20-10-2024,07-11-2024,16-11-2024,50,750,12.75,27,18,700,1,1
O0179,C02,V005,R018,20-10-2024,07-11-2024,29-10-2024,72,83,12.75,9,18,11,1,0
O0180,C02,V011,R026,05-10-2024,18-10-2024,16-11-2024,257,270,12.75,42,13,13,1,1
O0181,C04,V010,R011,24-10-2024,28-10-2024,02-11-2024,89,89,65.2,9,4,0,0,1
O0182,C03,V006,R012,05-11-2024,20-11-2024,05-11-2024,50,322,88,0,15,272,1,0
O0183,C03,V006,R014,24-10-2024,02-11-2024,19-11-2024,50,50,88,26,9,0,0,1
O0184,C03,V013,R013,10-10-2024,02-11-2024,20-11-2024,50,142,88,41,23,92,1,1
O0185,C05,V002,R030,25-10-2024,20-11-2024,02-11-2024,103,189,37,8,26,86,1,0
O0186,C03,V012,R024,18-10-2024,06-11-2024,28-10-2024,50,50,88,10,19,0,0,0
O0187,C05,V005,R026,18-10-2024,15-11-2024,17-11-2024,135,750,37,30,28,615,1,1
O0188,C05,V008,R020,10-10-2024,20-11-2024,17-11-2024,50,750,37,38,41,700,1,0
O0189,C05,V004,R029,10-10-2024,28-10-2024,10-11-2024,50,750,37,31,18,700,1,1
O0190,C05,V013,R015,20-10-2024,06-11-2024,20-11-2024,155,441,37,31,17,286,1,1
O0191,C01,V013,R022,15-10-2024,28-10-2024,02-11-2024,50,147,25.5,18,13,97,1,1
O0192,C02,V007,R021,20-10-2024,12-11-2024,25-10-2024,87,111,12.75,5,23,24,1,0
O0193,C04,V005,R027,01-10-2024,15-10-2024,25-10-2024,50,535,65.2,24,14,485,1,1
O0194,C04,V014,R030,24-10-2024,20-11-2024,19-11-2024,299,750,65.2,26,27,451,1,0
O0195,C05,V010,R010,15-10-2024,28-10-2024,29-10-2024,562,750,37,14,13,188,1,1
O0196,C05,V003,R029,10-11-2024,20-11-2024,28-10-2024,50,750,37,-13,10,700,1,0
O0197,C01,V011,R005,01-10-2024,15-11-2024,23-11-2024,50,345,25.5,53,45,295,1,1
O0198,C05,V009,R010,04-11-2024,20-11-2024,05-11-2024,50,209,37,1,16,159,1,0
O0199,C05,V014,R013,12-10-2024,28-10-2024,30-10-2024,549,750,37,18,16,201,1,1
O0200,C01,V008,R027,10-10-2024,30-10-2024,17-11-2024,163,312,25.5,38,20,149,1,1
O0201,C04,V007,R021,01-11-2024,12-11-2024,29-10-2024,50,257,65.2,-3,11,207,1,0
O0202,C03,V006,R025,20-10-2024,28-10-2024,05-11-2024,55,196,88,16,8,141,1,1
O0203,C02,V009,R014,05-10-2024,20-11-2024,30-10-2024,50,291,12.75,25,46,241,1,0
O0204,C05,V009,R004,15-10-2024,30-10-2024,05-11-2024,668,750,37,21,15,82,1,1
O0205,C02,V011,R004,05-10-2024,15-11-2024,30-10-2024,50,750,12.75,25,41,700,1,0
O0206,C05,V008,R008,18-10-2024,20-11-2024,28-10-2024,245,530,37,10,33,285,1,0
O0207,C02,V001,R025,24-10-2024,30-10-2024,10-11-2024,50,327,12.75,17,6,277,1,1
O0208,C03,V007,R029,25-10-2024,04-11-2024,18-11-2024,52,285,88,24,10,233,1,1
O0209,C03,V008,R005,10-11-2024,20-11-2024,23-11-2024,174,667,88,13,10,493,1,1
O0210,C02,V013,R015,05-11-2024,07-11-2024,05-11-2024,232,387,12.75,0,2,155,1,0
O0211,C01,V011,R021,10-11-2024,12-11-2024,28-10-2024,50,95,25.5,-13,2,45,1,0
O0212,C02,V010,R003,10-10-2024,20-11-2024,23-11-2024,176,386,12.75,44,41,210,1,1
O0213,C02,V004,R007,12-10-2024,15-10-2024,19-11-2024,50,265,12.75,38,3,215,1,1
O0214,C01,V013,R027,01-10-2024,21-11-2024,19-11-2024,50,283,25.5,49,51,233,1,0
O0215,C02,V006,R011,04-11-2024,16-11-2024,16-11-2024,162,224,12.75,12,12,62,1,1
O0216,C05,V004,R025,25-10-2024,04-11-2024,30-10-2024,50,335,37,5,10,285,1,0
O0217,C02,V013,R024,25-10-2024,04-11-2024,10-11-2024,53,61,12.75,16,10,8,1,1
O0218,C04,V010,R029,28-10-2024,30-10-2024,30-10-2024,64,331,65.2,2,2,267,1,1
O0219,C03,V008,R027,25-10-2024,30-10-2024,28-10-2024,50,136,88,3,5,86,1,0
O0220,C04,V006,R024,05-11-2024,21-11-2024,17-11-2024,50,232,65.2,12,16,182,1,0
O0221,C02,V009,R020,01-10-2024,15-10-2024,06-11-2024,95,432,12.75,36,14,337,1,1
O0222,C05,V004,R015,25-10-2024,12-11-2024,18-11-2024,431,750,37,24,18,319,1,1
O0223,C03,V006,R002,10-10-2024,20-11-2024,10-11-2024,171,258,88,31,41,87,1,0
O0224,C01,V007,R027,10-10-2024,02-11-2024,19-11-2024,310,334,25.5,40,23,24,1,1
O0225,C01,V010,R022,28-10-2024,04-11-2024,29-10-2024,221,329,25.5,1,7,108,1,0
O0226,C03,V014,R006,18-10-2024,12-11-2024,25-10-2024,50,129,88,7,25,79,1,0
O0227,C03,V008,R026,20-10-2024,06-11-2024,18-11-2024,750,750,88,29,17,0,0,1
O0228,C02,V011,R017,05-10-2024,15-11-2024,17-11-2024,69,304,12.75,43,41,235,1,1
O0229,C01,V002,R002,15-10-2024,15-11-2024,17-11-2024,129,750,25.5,33,31,621,1,1
O0230,C01,V013,R024,01-10-2024,02-11-2024,10-11-2024,50,226,25.5,40,32,176,1,1
O0231,C02,V013,R007,18-10-2024,15-11-2024,23-11-2024,113,148,12.75,36,28,35,1,1
O0232,C01,V008,R016,10-11-2024,20-11-2024,23-11-2024,50,483,25.5,13,10,433,1,1
O0233,C04,V014,R019,10-10-2024,06-11-2024,10-11-2024,50,563,65.2,31,27,513,1,1
O0234,C01,V007,R026,05-10-2024,21-11-2024,29-10-2024,87,403,25.5,24,47,316,1,0
O0235,C02,V006,R016,18-10-2024,28-10-2024,18-11-2024,50,94,12.75,31,10,44,1,1
O0236,C05,V003,R027,20-10-2024,28-10-2024,19-11-2024,266,364,37,30,8,98,1,1
O0237,C02,V004,R011,05-10-2024,02-11-2024,06-11-2024,50,215,12.75,32,28,165,1,1
O0238,C03,V003,R015,05-10-2024,28-10-2024,06-11-2024,207,285,88,32,23,78,1,1
O0239,C03,V006,R016,05-10-2024,20-11-2024,16-11-2024,163,750,88,42,46,587,1,0
O0240,C02,V007,R015,24-10-2024,12-11-2024,10-11-2024,448,495,12.75,17,19,47,1,0
O0241,C04,V006,R019,05-10-2024,28-10-2024,19-11-2024,50,189,65.2,45,23,139,1,1
O0242,C02,V002,R005,28-10-2024,21-11-2024,10-11-2024,50,218,12.75,13,24,168,1,0
O0243,C02,V008,R002,18-10-2024,28-10-2024,06-11-2024,127,202,12.75,19,10,75,1,1
O0244,C02,V011,R021,01-10-2024,15-11-2024,10-11-2024,269,305,12.75,40,45,36,1,0
O0245,C05,V013,R020,04-11-2024,21-11-2024,30-10-2024,207,750,37,-5,17,543,1,0
O0246,C03,V006,R005,20-10-2024,20-11-2024,28-10-2024,73,256,88,8,31,183,1,0
O0247,C03,V001,R012,10-10-2024,28-10-2024,19-11-2024,50,50,88,40,18,0,0,1
O0248,C03,V015,R029,25-10-2024,28-10-2024,20-11-2024,339,378,88,26,3,39,1,1
O0249,C03,V011,R010,01-11-2024,20-11-2024,20-11-2024,50,397,88,19,19,347,1,1
O0250,C04,V004,R010,05-10-2024,15-11-2024,10-11-2024,50,234,65.2,36,41,184,1,0
O0251,C02,V005,R006,25-10-2024,04-11-2024,10-11-2024,127,747,12.75,16,10,620,1,1
O0252,C05,V006,R015,05-10-2024,20-11-2024,19-11-2024,50,707,37,45,46,657,1,0
O0253,C03,V008,R016,28-10-2024,30-10-2024,18-11-2024,130,690,88,21,2,560,1,1
O0254,C01,V001,R013,01-10-2024,07-11-2024,25-10-2024,50,66,25.5,24,37,16,1,0
O0255,C03,V014,R012,10-11-2024,20-11-2024,19-11-2024,143,750,88,9,10,607,1,0
O0256,C05,V003,R016,25-10-2024,06-11-2024,16-11-2024,256,345,37,22,12,89,1,1
O0257,C02,V004,R003,25-10-2024,12-11-2024,10-11-2024,93,351,12.75,16,18,258,1,0
O0258,C02,V013,R027,20-10-2024,21-11-2024,02-11-2024,50,50,12.75,13,32,0,0,0
O0259,C04,V010,R005,25-10-2024,15-11-2024,19-11-2024,210,750,65.2,25,21,540,1,1
O0260,C03,V003,R015,15-11-2024,20-11-2024,06-11-2024,242,390,88,-9,5,148,1,0
O0261,C04,V004,R029,01-10-2024,16-11-2024,05-11-2024,237,336,65.2,35,46,99,1,0
O0262,C05,V014,R026,25-10-2024,20-11-2024,17-11-2024,379,750,37,23,26,371,1,0
O0263,C03,V013,R012,10-10-2024,02-11-2024,02-11-2024,50,125,88,23,23,75,1,1
O0264,C04,V006,R008,28-10-2024,04-11-2024,19-11-2024,177,279,65.2,22,7,102,1,1
O0265,C02,V002,R002,01-11-2024,04-11-2024,16-11-2024,50,50,12.75,15,3,0,0,1
O0266,C04,V015,R027,12-10-2024,16-11-2024,17-11-2024,175,750,65.2,36,35,575,1,1
O0267,C03,V009,R003,24-10-2024,04-11-2024,29-10-2024,50,199,88,5,11,149,1,0
O0268,C02,V013,R022,05-10-2024,07-11-2024,28-10-2024,175,238,12.75,23,33,63,1,0
